# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000     6639.211    25826.047
       2.004       98.800     6483.770    29000.988
       4.004       98.800     6723.262    32295.930
       6.005       98.600     6822.289    35507.590
       8.006       98.600     6811.059    38745.656
      10.008       98.900     6838.254    42067.512
      12.009       97.700     6823.883    45324.621
      14.011       97.200     6809.590    48604.508
      16.011       97.400     6787.668    51889.500
      18.012       97.400     6780.242    55201.961
      20.017       97.500     6738.105    58412.098
      22.018       97.700     6570.781    61582.117
      24.019       98.300     6686.969    64930.887
      26.021       97.500     6512.359    68095.543
      28.021       98.700     6497.633    71476.051
      30.022       98.600     6496.754    74858.082
      32.023       98.700     6554.590    78239.352
      34.026       98.700     6414.656    81526.676
      36.027       98.800     6494.625    84917.340
      38.030       98.700     6467.293    88249.336
      40.032       98.800     6446.289    91593.789
      42.034       99.200     6473.676    94953.344
      44.035       99.000     6529.285    98352.609
      46.036       99.100     6546.719   101771.965
      48.039       99.000     6336.203   105057.004
      50.040       99.300     6265.488   108423.801
      52.044       99.300     6425.340   111800.500
      54.044       99.400     6384.098   115190.148
      56.045       99.400     6389.363   118633.625
      58.045       99.400     6378.090   122061.598
      60.046       99.400     6351.621   125434.742
